('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by2', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by13', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by7', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by35', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by25', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by30', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by6', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by2', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by1', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by5', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by3', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by23', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad1', 'id': '', 'salary_in_k': '10.4', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by15', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by31', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by21', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by4', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by22', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by32', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by36', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by29', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by28', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad2', 'id': 'hello', 'salary_in_k': '10.4', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by10', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by9', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by19', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by16', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by17', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by20', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by27', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by34', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by8', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': '', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by14', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by18', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by12', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by26', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by33', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by11', 'phonenumber': '8288884444'})
('model-craft-342921:testing.Task3', {'name': 'Brad3', 'id': '394', 'salary_in_k': 'by24', 'phonenumber': '8288884444'})
